occupation,category,median_pay,num_jobs,outlook_pct,education,work_experience,training,description,url
Licensed Practical and Licensed Vocational Nurses,Healthcare,62340,651400,3,"$66,370",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/licensed-practical-and-licensed-vocational-nurses.htm
Massage Therapists,Healthcare,57950,168000,15,Postsecondary nondegree award,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/massage-therapists.htm
Medical Assistants,Healthcare,44200,811000,12,Postsecondary nondegree award,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/medical-assistants.htm
Medical Dosimetrists,Healthcare,138110,4800,3,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/medical-dosimetrists.htm
Medical Records Specialists,Healthcare,50250,194800,7,Postsecondary nondegree award,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/medical-records-and-health-information-technicians.htm
Medical Transcriptionists,Healthcare,37550,43900,-5,Postsecondary nondegree award,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/medical-transcriptionists.htm
Nuclear Medicine Technologists,Healthcare,97020,20000,3,Associate's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/nuclear-medicine-technologists.htm
"Nurse Anesthetists, Nurse Midwives, and Nurse Practitioners",Healthcare,132050,382700,35,"132,070",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm
Nursing Assistants and Orderlies,Healthcare,39430,1495400,2,"$39,540",None,See How to Become One,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/nursing-assistants.htm
Occupational Health and Safety Specialists and Technicians,Healthcare,78900,163700,12,"62,680",None,See How to Become One,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/occupational-health-and-safety-specialists-and-technicians.htm
Occupational Therapists,Healthcare,98340,160000,14,"83,890",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/occupational-therapists.htm
Occupational Therapy Assistants and Aides,Healthcare,66050,54400,18,"59,240",None,See How to Become One,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/occupational-therapy-assistants-and-aides.htm
Opticians,Healthcare,46560,79900,3,High school diploma or equivalent,None,Long-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/opticians-dispensing.htm
Optometrists,Healthcare,134830,47800,8,Doctoral or professional degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/optometrists.htm
Orthotists and Prosthetists,Healthcare,78310,10100,13,Master's degree,None,Internship/residency,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/orthotists-and-prosthetists.htm
Pharmacists,Healthcare,137480,335100,5,Doctoral or professional degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/pharmacists.htm
Pharmacy Technicians,Healthcare,43460,490400,6,High school diploma or equivalent,None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/pharmacy-technicians.htm
Phlebotomists,Healthcare,43660,139700,6,Postsecondary nondegree award,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/phlebotomists.htm
Physical Therapist Assistants and Aides,Healthcare,60050,157100,16,"$46,790",None,See How to Become One,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/physical-therapist-assistants-and-aides.htm
Physical Therapists,Healthcare,101020,267200,11,Doctoral or professional degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/physical-therapists.htm
Physician Assistants,Healthcare,133260,162700,20,"127,900",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/physician-assistants.htm
Physicians and Surgeons,Healthcare,239200,839000,3,Doctoral or professional degree,None,Internship/residency,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm
Podiatrists,Healthcare,152800,9700,2,Doctoral or professional degree,None,Internship/residency,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/podiatrists.htm
Psychiatric Technicians and Aides,Healthcare,42200,182900,16,"39,000",See How to Become One,Short-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/psychiatric-technicians-and-aides.htm
Radiation Therapists,Healthcare,101990,19200,2,Associate's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/radiation-therapists.htm
Radiologic and MRI Technologists,Healthcare,78980,272000,5,Associate's degree,See How to Become One,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/radiologic-technologists.htm
Recreational Therapists,Healthcare,60280,16100,3,"$77,820",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/recreational-therapists.htm
Registered Nurses,Healthcare,93600,3391000,5,"74,360",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/registered-nurses.htm
Respiratory Therapists,Healthcare,80450,139600,12,Associate's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/respiratory-therapists.htm
Speech-Language Pathologists,Healthcare,95410,187400,15,"80,280",None,Internship/residency,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/speech-language-pathologists.htm
Surgical Assistants and Technologists,Healthcare,62480,141000,5,Postsecondary nondegree award,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/surgical-technologists.htm
Veterinarians,Healthcare,125510,86400,10,"111,420",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/veterinarians.htm
Veterinary Assistants and Laboratory Animal Caretakers,Healthcare,37320,117800,9,"47,670",None,Short-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/veterinary-assistants-and-laboratory-animal-caretakers.htm
Veterinary Technologists and Technicians,Healthcare,45980,134200,9,"$51,250",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/healthcare/veterinary-technologists-and-technicians.htm
Aircraft and Avionics Equipment Mechanics and Technicians,Installation Maintenance And Repair,79140,160800,5,Postsecondary nondegree award,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/installation-maintenance-and-repair/aircraft-and-avionics-equipment-mechanics-and-technicians.htm
Automotive Body and Glass Repairers,Installation Maintenance And Repair,50680,193000,2,High school diploma or equivalent,None,See How to Become One,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/installation-maintenance-and-repair/automotive-body-and-glass-repairers.htm
Automotive Service Technicians and Mechanics,Installation Maintenance And Repair,49670,805600,4,Postsecondary nondegree award,None,Short-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/installation-maintenance-and-repair/automotive-service-technicians-and-mechanics.htm
Calibration Technologists and Technicians,Installation Maintenance And Repair,65040,15800,5,Associate's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/installation-maintenance-and-repair/calibration-technologists-and-technicians.htm
Diesel Service Technicians and Mechanics,Installation Maintenance And Repair,60640,319900,2,"$67,710",None,Long-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/installation-maintenance-and-repair/diesel-service-technicians-and-mechanics.htm
Electrical and Electronics Installers and Repairers,Installation Maintenance And Repair,71270,118800,0,See How to Become One,See How to Become One,See How to Become One,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/installation-maintenance-and-repair/electrical-and-electronics-installers-and-repairers.htm
General Maintenance and Repair Workers,Installation Maintenance And Repair,48620,1629700,4,"49,290",None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/installation-maintenance-and-repair/general-maintenance-and-repair-workers.htm
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Installation Maintenance And Repair,59810,425200,8,"60,960",None,Long-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/installation-maintenance-and-repair/heating-air-conditioning-and-refrigeration-mechanics-and-installers.htm
Heavy Vehicle and Mobile Equipment Service Technicians,Installation Maintenance And Repair,62740,245600,6,"$68,860",None,Long-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/installation-maintenance-and-repair/heavy-vehicle-and-mobile-equipment-service-technicians.htm
"Industrial Machinery Mechanics, Machinery Maintenance Workers, and Millwrights",Installation Maintenance And Repair,63510,538300,13,High school diploma or equivalent,None,See How to Become One,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/installation-maintenance-and-repair/industrial-machinery-mechanics-and-maintenance-workers-and-millwrights.htm
Electrical Power-Line Installers and Repairers,Installation Maintenance And Repair,92560,127400,7,"87,550",None,Long-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/installation-maintenance-and-repair/line-installers-and-repairers.htm
Medical Equipment Repairers,Installation Maintenance And Repair,62630,68000,13,Associate's degree,None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/installation-maintenance-and-repair/medical-equipment-repairers.htm
Small Engine Mechanics,Installation Maintenance And Repair,48240,78000,4,See How to Become One,None,See How to Become One,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/installation-maintenance-and-repair/small-engine-mechanics.htm
Telecommunications Technicians,Installation Maintenance And Repair,64310,268500,-3,See How to Become One,None,See How to Become One,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/installation-maintenance-and-repair/telecommunications-equipment-installers-and-repairers-except-line-installers.htm
Wind Turbine Technicians,Installation Maintenance And Repair,62580,13600,50,Postsecondary nondegree award,None,Long-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/installation-maintenance-and-repair/wind-turbine-technicians.htm
"Arbitrators, Mediators, and Conciliators",Legal,67710,9100,4,"74,990",Less than 5 years,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/legal/arbitrators-mediators-and-conciliators.htm
Court Reporters and Simultaneous Captioners,Legal,67310,17700,0,"74,660",None,Short-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/legal/court-reporters.htm
Judges and Hearing Officers,Legal,135160,44800,1,"99,110",5 years or more,Short-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/legal/judges-and-hearing-officers.htm
Lawyers,Legal,151160,864800,4,"111,280",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/legal/lawyers.htm
Paralegals and Legal Assistants,Legal,61010,376200,0,"56,280",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/legal/paralegals-and-legal-assistants.htm
Agricultural and Food Science Technicians,Life Physical And Social Science,48480,38900,5,Associate's degree,None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-science-technicians.htm
Agricultural and Food Scientists,Life Physical And Social Science,78770,38700,6,"77,380",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-scientists.htm
Anthropologists and Archeologists,Life Physical And Social Science,64910,8800,4,Master's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/anthropologists-and-archeologists.htm
"Atmospheric Scientists, Including Meteorologists",Life Physical And Social Science,97450,9400,1,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/atmospheric-scientists-including-meteorologists.htm
Biochemists and Biophysicists,Life Physical And Social Science,103650,35600,6,Doctoral or professional degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/biochemists-and-biophysicists.htm
Biological Technicians,Life Physical And Social Science,52000,82700,3,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/biological-technicians.htm
Chemical Technicians,Life Physical And Social Science,57790,57000,4,"57,550",None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/chemical-technicians.htm
Chemists and Materials Scientists,Life Physical And Social Science,86620,95500,5,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/chemists-and-materials-scientists.htm
Conservation Scientists and Foresters,Life Physical And Social Science,69060,42400,3,"66,000",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/conservation-scientists.htm
Economists,Life Physical And Social Science,115440,17600,1,"74,520",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/economists.htm
Environmental Science and Protection Technicians,Life Physical And Social Science,49490,40400,4,"54,960",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/environmental-science-and-protection-technicians.htm
Environmental Scientists and Specialists,Life Physical And Social Science,80060,90300,4,"76,840",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/environmental-scientists-and-specialists.htm
Epidemiologists,Life Physical And Social Science,83980,12300,16,"76,180",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/epidemiologists.htm
Forensic Science Technicians,Life Physical And Social Science,67440,20700,13,"49,980",None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/forensic-science-technicians.htm
Geographers,Life Physical And Social Science,97200,1500,-3,"65,150",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/geographers.htm
Geological and Hydrologic Technicians,Life Physical And Social Science,50510,12900,1,"48,560",None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/geological-and-petroleum-technicians.htm
Geoscientists,Life Physical And Social Science,99240,25100,3,"86,780",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/geoscientists.htm
Historians,Life Physical And Social Science,74050,3400,2,"51,820",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/historians.htm
Hydrologists,Life Physical And Social Science,92060,6300,0,"79,710",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/hydrologists.htm
Medical Scientists,Life Physical And Social Science,100590,165300,9,Doctoral or professional degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/medical-scientists.htm
Microbiologists,Life Physical And Social Science,87330,20700,4,"$102,490",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/microbiologists.htm
Nuclear Technicians,Life Physical And Social Science,104240,6000,-8,Associate's degree,None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/nuclear-technicians.htm
Physicists and Astronomers,Life Physical And Social Science,166290,26400,4,Doctoral or professional degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/physicists-and-astronomers.htm
Political Scientists,Life Physical And Social Science,139380,6500,-3,"81,620",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/political-scientists.htm
Psychologists,Life Physical And Social Science,94310,204300,6,"$126,990",None,Internship/residency,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/psychologists.htm
Sociologists,Life Physical And Social Science,101690,3400,4,"87,630",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/sociologists.htm
Survey Researchers,Life Physical And Social Science,63380,8800,-5,"63,290",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/survey-researchers.htm
Urban and Regional Planners,Life Physical And Social Science,83720,44700,3,"81,640",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/urban-and-regional-planners.htm
Zoologists and Wildlife Biologists,Life Physical And Social Science,72860,18200,2,"75,030",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/life-physical-and-social-science/zoologists-and-wildlife-biologists.htm
Administrative Services and Facilities Managers,Management,106880,422600,4,"98,430",Less than 5 years,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/management/administrative-services-managers.htm
"Advertising, Promotions, and Marketing Managers",Management,159660,434000,6,Bachelor's degree,See How to Become One,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm
Architectural and Engineering Managers,Management,167740,212500,4,"156,240",5 years or more,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/management/architectural-and-engineering-managers.htm
Compensation and Benefits Managers,Management,140360,20900,0,"112,040",5 years or more,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/management/compensation-and-benefits-managers.htm
Computer and Information Systems Managers,Management,171200,667100,15,Bachelor's degree,5 years or more,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/management/computer-and-information-systems-managers.htm
Construction Managers,Management,106980,550300,9,Bachelor's degree,None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/management/construction-managers.htm
"Elementary, Middle, and High School Principals",Management,104070,333300,-2,11-9032,5 years or more,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/management/elementary-middle-and-high-school-principals.htm
Emergency Management Directors,Management,86130,13200,3,"73,590",5 years or more,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/management/emergency-management-directors.htm
Entertainment and Recreation Managers,Management,77180,43200,8,"$90,150",Less than 5 years,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/management/entertainment-and-recreation-managers.htm
